timestamp,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d
2025-06-23T03:14:18+00:00,101223.8176518675,62812052749.19415,0.09148727,-1.28766073,-4.38957695
2025-06-23T04:00:05+00:00,101157.53367893546,62614878662.02196,-0.15249477,-1.17454584,-4.51450673
2025-06-23T04:14:22+00:00,101049.88416183944,62284414607.3046,-0.1718306,-1.56546327,-4.64468968
2025-06-23T05:00:04+00:00,101188.46789270602,62369162029.055305,0.0187395,-1.42019291,-4.89913394
2025-06-23T05:14:17+00:00,101464.10875023848,61637030820.47007,0.40992089,-1.25587049,-4.61929014
2025-06-23T06:00:05+00:00,101841.0924747632,61928929599.324326,0.64495945,-1.01021096,-4.44658197
2025-06-23T06:14:22+00:00,101982.61850431764,62093644151.391045,0.51102775,-0.92472331,-4.34003109
2025-06-23T16:21:44+00:00,100956.3232620693,53363069847.41951,-1.05305689,1.95974356,-6.26544381
2025-06-23T16:27:14+00:00,100614.28534771204,53450688937.71716,-1.28795504,1.85420416,-6.59078093
2025-06-23T17:00:05+00:00,100640.49324322966,53934931366.51301,-0.84909764,1.23900238,-6.6559913
2025-06-23T17:14:17+00:00,101452.51574825031,55143577562.0256,0.18787379,1.14356095,-5.93822624
2025-06-23T17:27:11+00:00,101570.14335617772,54775107300.0913,0.95002216,1.92403087,-5.89650989
2025-06-23T18:00:05+00:00,102472.10550348296,57823176963.64841,1.81995557,2.9180732,-4.92996431
2025-06-23T18:14:16+00:00,102973.7179962186,57967027777.18656,1.49942289,3.44449429,-4.59630118
2025-06-23T18:27:07+00:00,103037.82037625634,59251088262.03238,1.42591387,3.54452981,-4.64872542
2025-06-23T19:00:05+00:00,103055.16087681116,59230627125.01694,0.56898936,3.58516966,-4.85107733
2025-06-23T19:14:22+00:00,103169.14356411422,60269342257.8168,0.18978199,3.94688123,-5.06045631
2025-06-23T19:27:09+00:00,102944.00807648414,60201153248.69029,-0.09104647,3.84677895,-5.45652164
2025-06-23T20:00:11+00:00,103231.2757677387,59681560750.09791,0.20372111,4.32530731,-4.8536489
2025-06-23T20:14:22+00:00,103411.68821349788,59335920814.889565,0.23509418,5.10731772,-4.86002821
2025-06-23T20:27:08+00:00,103871.8528663956,58239759946.01713,0.90131015,5.40738554,-4.36678795
